E; class; class1
E; class; class2
E; class; class3
E; class; class4
E; class; class5
E; class; class6
E; class; class7
E; class; class8
E; class; class9
E; class; class10
E; class; class11
E; class; class12
E; class; class13
E; class; class14
E; class; class15
E; class; class16
E; class; class17
E; class; class18
E; class; class19
E; class; class20
E; class; class21
E; class; class22
E; class; class23
E; class; class24
E; class; class25
E; class; class26
E; class; class27
E; class; class28
E; class; class29
E; class; class30
E; class; class31
E; class; class32
E; class; class33
E; class; class34
E; class; class35
E; class; class36
E; class; class37
E; class; class38
E; class; class39
E; class; class40
E; class; class41
E; class; class42
E; class; class43
E; class; class44
E; class; class45
E; class; class46
E; class; class47
E; class; class48
E; class; class49
E; class; class50
E; package; package1
E; package; package2
E; package; package3
E; package; package4
E; package; package5
E; package; package6
E; package; package7
E; package; package8
E; package; package9
E; package; package10
E; package; package11
R; depends-to; class1; class16
R; depends-to; class1; class49
R; depends-to; class1; class40
R; depends-to; class2; class12
R; depends-to; class2; class14
R; depends-to; class2; class24
R; depends-to; class2; class30
R; depends-to; class2; class28
R; depends-to; class2; class20
R; depends-to; class3; class1
R; depends-to; class3; class44
R; depends-to; class3; class49
R; depends-to; class3; class19
R; depends-to; class3; class12
R; depends-to; class3; class2
R; depends-to; class3; class41
R; depends-to; class4; class9
R; depends-to; class4; class5
R; depends-to; class4; class41
R; depends-to; class5; class44
R; depends-to; class5; class46
R; depends-to; class6; class1
R; depends-to; class6; class24
R; depends-to; class6; class42
R; depends-to; class6; class47
R; depends-to; class6; class43
R; depends-to; class6; class32
R; depends-to; class7; class45
R; depends-to; class7; class32
R; depends-to; class7; class10
R; depends-to; class7; class5
R; depends-to; class7; class8
R; depends-to; class7; class16
R; depends-to; class7; class9
R; depends-to; class8; class33
R; depends-to; class8; class44
R; depends-to; class8; class9
R; depends-to; class9; class44
R; depends-to; class9; class13
R; depends-to; class9; class32
R; depends-to; class9; class25
R; depends-to; class10; class15
R; depends-to; class10; class19
R; depends-to; class10; class22
R; depends-to; class10; class35
R; depends-to; class10; class2
R; depends-to; class10; class41
R; depends-to; class10; class21
R; depends-to; class11; class36
R; depends-to; class11; class23
R; depends-to; class14; class45
R; depends-to; class15; class36
R; depends-to; class15; class50
R; depends-to; class15; class42
R; depends-to; class16; class34
R; depends-to; class16; class26
R; depends-to; class16; class47
R; depends-to; class16; class39
R; depends-to; class17; class16
R; depends-to; class18; class42
R; depends-to; class19; class10
R; depends-to; class19; class34
R; depends-to; class19; class20
R; depends-to; class20; class8
R; depends-to; class20; class18
R; depends-to; class20; class1
R; depends-to; class20; class42
R; depends-to; class20; class24
R; depends-to; class20; class2
R; depends-to; class20; class45
R; depends-to; class21; class18
R; depends-to; class22; class34
R; depends-to; class22; class31
R; depends-to; class23; class4
R; depends-to; class23; class39
R; depends-to; class24; class49
R; depends-to; class24; class36
R; depends-to; class24; class6
R; depends-to; class24; class37
R; depends-to; class24; class50
R; depends-to; class24; class38
R; depends-to; class24; class8
R; depends-to; class25; class8
R; depends-to; class25; class30
R; depends-to; class26; class49
R; depends-to; class26; class14
R; depends-to; class26; class45
R; depends-to; class26; class23
R; depends-to; class27; class20
R; depends-to; class28; class14
R; depends-to; class29; class20
R; depends-to; class29; class47
R; depends-to; class29; class26
R; depends-to; class29; class33
R; depends-to; class30; class9
R; depends-to; class31; class47
R; depends-to; class31; class16
R; depends-to; class31; class35
R; depends-to; class31; class18
R; depends-to; class31; class45
R; depends-to; class31; class33
R; depends-to; class31; class7
R; depends-to; class32; class10
R; depends-to; class32; class14
R; depends-to; class32; class17
R; depends-to; class32; class49
R; depends-to; class32; class46
R; depends-to; class32; class28
R; depends-to; class33; class2
R; depends-to; class33; class26
R; depends-to; class33; class49
R; depends-to; class33; class7
R; depends-to; class33; class3
R; depends-to; class34; class28
R; depends-to; class34; class19
R; depends-to; class34; class23
R; depends-to; class34; class9
R; depends-to; class34; class14
R; depends-to; class34; class16
R; depends-to; class35; class47
R; depends-to; class35; class14
R; depends-to; class35; class24
R; depends-to; class35; class6
R; depends-to; class35; class17
R; depends-to; class37; class38
R; depends-to; class37; class9
R; depends-to; class37; class50
R; depends-to; class37; class2
R; depends-to; class38; class16
R; depends-to; class38; class42
R; depends-to; class38; class5
R; depends-to; class38; class14
R; depends-to; class38; class21
R; depends-to; class38; class20
R; depends-to; class39; class36
R; depends-to; class39; class29
R; depends-to; class39; class49
R; depends-to; class39; class1
R; depends-to; class40; class30
R; depends-to; class40; class33
R; depends-to; class40; class50
R; depends-to; class40; class5
R; depends-to; class41; class16
R; depends-to; class41; class39
R; depends-to; class41; class42
R; depends-to; class42; class23
R; depends-to; class42; class40
R; depends-to; class42; class44
R; depends-to; class42; class8
R; depends-to; class42; class1
R; depends-to; class42; class9
R; depends-to; class43; class27
R; depends-to; class43; class12
R; depends-to; class43; class47
R; depends-to; class43; class38
R; depends-to; class43; class25
R; depends-to; class43; class37
R; depends-to; class44; class22
R; depends-to; class44; class43
R; depends-to; class44; class15
R; depends-to; class45; class10
R; depends-to; class45; class17
R; depends-to; class45; class41
R; depends-to; class45; class48
R; depends-to; class45; class44
R; depends-to; class46; class49
R; depends-to; class46; class3
R; depends-to; class46; class40
R; depends-to; class46; class36
R; depends-to; class46; class8
R; depends-to; class47; class7
R; depends-to; class47; class3
R; depends-to; class47; class42
R; depends-to; class47; class46
R; depends-to; class48; class31
R; depends-to; class48; class2
R; depends-to; class48; class12
R; depends-to; class49; class3
R; depends-to; class49; class35
R; depends-to; class49; class21
R; depends-to; class49; class33
R; depends-to; class49; class25
R; depends-to; class50; class35
R; depends-to; class50; class7
R; depends-to; class50; class15
R; depends-to; class50; class30
R; pertains-to; class1; package6
R; pertains-to; class2; package8
R; pertains-to; class3; package8
R; pertains-to; class4; package2
R; pertains-to; class5; package11
R; pertains-to; class6; package8
R; pertains-to; class7; package4
R; pertains-to; class8; package7
R; pertains-to; class9; package7
R; pertains-to; class10; package6
R; pertains-to; class11; package6
R; pertains-to; class12; package5
R; pertains-to; class13; package4
R; pertains-to; class14; package5
R; pertains-to; class15; package7
R; pertains-to; class16; package1
R; pertains-to; class17; package8
R; pertains-to; class18; package11
R; pertains-to; class19; package1
R; pertains-to; class20; package6
R; pertains-to; class21; package9
R; pertains-to; class22; package5
R; pertains-to; class23; package10
R; pertains-to; class24; package5
R; pertains-to; class25; package6
R; pertains-to; class26; package11
R; pertains-to; class27; package10
R; pertains-to; class28; package5
R; pertains-to; class29; package5
R; pertains-to; class30; package2
R; pertains-to; class31; package1
R; pertains-to; class32; package1
R; pertains-to; class33; package5
R; pertains-to; class34; package4
R; pertains-to; class35; package1
R; pertains-to; class36; package7
R; pertains-to; class37; package4
R; pertains-to; class38; package4
R; pertains-to; class39; package3
R; pertains-to; class40; package4
R; pertains-to; class41; package9
R; pertains-to; class42; package6
R; pertains-to; class43; package7
R; pertains-to; class44; package9
R; pertains-to; class45; package6
R; pertains-to; class46; package11
R; pertains-to; class47; package2
R; pertains-to; class48; package7
R; pertains-to; class49; package9
R; pertains-to; class50; package7
