E; class; class1
E; class; class2
E; class; class3
E; class; class4
E; class; class5
E; class; class6
E; class; class7
E; class; class8
E; class; class9
E; class; class10
E; class; class11
E; class; class12
E; class; class13
E; class; class14
E; class; class15
E; class; class16
E; class; class17
E; class; class18
E; class; class19
E; class; class20
E; class; class21
E; class; class22
E; class; class23
E; class; class24
E; class; class25
E; class; class26
E; class; class27
E; class; class28
E; class; class29
E; class; class30
E; class; class31
E; class; class32
E; class; class33
E; class; class34
E; class; class35
E; class; class36
E; class; class37
E; class; class38
E; class; class39
E; class; class40
E; class; class41
E; class; class42
E; class; class43
E; class; class44
E; class; class45
E; class; class46
E; class; class47
E; class; class48
E; class; class49
E; class; class50
E; package; package1
E; package; package2
E; package; package3
E; package; package4
E; package; package5
E; package; package6
E; package; package7
E; package; package8
E; package; package9
E; package; package10
E; package; package11
E; package; package12
E; package; package13
R; depends-to; class3; class21
R; depends-to; class3; class11
R; depends-to; class4; class27
R; depends-to; class5; class49
R; depends-to; class5; class31
R; depends-to; class5; class40
R; depends-to; class6; class3
R; depends-to; class6; class48
R; depends-to; class6; class2
R; depends-to; class6; class24
R; depends-to; class6; class27
R; depends-to; class7; class14
R; depends-to; class7; class15
R; depends-to; class7; class24
R; depends-to; class7; class40
R; depends-to; class7; class29
R; depends-to; class8; class29
R; depends-to; class8; class49
R; depends-to; class8; class37
R; depends-to; class8; class22
R; depends-to; class8; class32
R; depends-to; class9; class43
R; depends-to; class9; class15
R; depends-to; class10; class36
R; depends-to; class10; class4
R; depends-to; class10; class29
R; depends-to; class10; class25
R; depends-to; class10; class22
R; depends-to; class11; class44
R; depends-to; class12; class40
R; depends-to; class12; class5
R; depends-to; class13; class14
R; depends-to; class13; class39
R; depends-to; class13; class42
R; depends-to; class13; class23
R; depends-to; class14; class15
R; depends-to; class14; class13
R; depends-to; class14; class43
R; depends-to; class15; class26
R; depends-to; class15; class25
R; depends-to; class15; class41
R; depends-to; class16; class40
R; depends-to; class16; class7
R; depends-to; class16; class37
R; depends-to; class16; class47
R; depends-to; class16; class3
R; depends-to; class18; class12
R; depends-to; class18; class14
R; depends-to; class18; class28
R; depends-to; class18; class15
R; depends-to; class20; class1
R; depends-to; class20; class12
R; depends-to; class20; class47
R; depends-to; class20; class43
R; depends-to; class20; class27
R; depends-to; class20; class41
R; depends-to; class21; class12
R; depends-to; class21; class24
R; depends-to; class21; class10
R; depends-to; class21; class30
R; depends-to; class21; class13
R; depends-to; class22; class21
R; depends-to; class22; class16
R; depends-to; class22; class11
R; depends-to; class22; class2
R; depends-to; class22; class38
R; depends-to; class23; class46
R; depends-to; class23; class24
R; depends-to; class23; class38
R; depends-to; class23; class7
R; depends-to; class23; class31
R; depends-to; class23; class12
R; depends-to; class23; class2
R; depends-to; class24; class38
R; depends-to; class24; class29
R; depends-to; class25; class15
R; depends-to; class25; class43
R; depends-to; class25; class19
R; depends-to; class25; class35
R; depends-to; class26; class16
R; depends-to; class26; class15
R; depends-to; class27; class40
R; depends-to; class27; class14
R; depends-to; class27; class6
R; depends-to; class27; class45
R; depends-to; class27; class11
R; depends-to; class28; class39
R; depends-to; class28; class40
R; depends-to; class28; class10
R; depends-to; class29; class32
R; depends-to; class29; class19
R; depends-to; class29; class44
R; depends-to; class29; class14
R; depends-to; class29; class30
R; depends-to; class30; class5
R; depends-to; class30; class42
R; depends-to; class30; class7
R; depends-to; class31; class20
R; depends-to; class31; class50
R; depends-to; class31; class27
R; depends-to; class31; class6
R; depends-to; class31; class9
R; depends-to; class31; class16
R; depends-to; class31; class38
R; depends-to; class32; class40
R; depends-to; class32; class2
R; depends-to; class32; class34
R; depends-to; class32; class9
R; depends-to; class33; class36
R; depends-to; class33; class24
R; depends-to; class34; class33
R; depends-to; class34; class44
R; depends-to; class34; class32
R; depends-to; class34; class6
R; depends-to; class34; class38
R; depends-to; class35; class46
R; depends-to; class36; class41
R; depends-to; class37; class11
R; depends-to; class37; class35
R; depends-to; class37; class33
R; depends-to; class37; class30
R; depends-to; class37; class48
R; depends-to; class38; class13
R; depends-to; class38; class21
R; depends-to; class38; class47
R; depends-to; class39; class30
R; depends-to; class39; class22
R; depends-to; class39; class49
R; depends-to; class39; class28
R; depends-to; class40; class21
R; depends-to; class40; class35
R; depends-to; class40; class23
R; depends-to; class40; class41
R; depends-to; class41; class16
R; depends-to; class41; class36
R; depends-to; class41; class29
R; depends-to; class41; class25
R; depends-to; class41; class40
R; depends-to; class42; class24
R; depends-to; class42; class1
R; depends-to; class42; class6
R; depends-to; class42; class12
R; depends-to; class42; class39
R; depends-to; class43; class27
R; depends-to; class43; class41
R; depends-to; class43; class18
R; depends-to; class43; class38
R; depends-to; class43; class13
R; depends-to; class43; class21
R; depends-to; class43; class36
R; depends-to; class44; class17
R; depends-to; class44; class2
R; depends-to; class44; class22
R; depends-to; class44; class28
R; depends-to; class44; class47
R; depends-to; class45; class6
R; depends-to; class45; class4
R; depends-to; class45; class19
R; depends-to; class45; class9
R; depends-to; class45; class24
R; depends-to; class45; class30
R; depends-to; class45; class31
R; depends-to; class46; class24
R; depends-to; class46; class48
R; depends-to; class46; class9
R; depends-to; class46; class4
R; depends-to; class46; class32
R; depends-to; class46; class17
R; depends-to; class46; class35
R; depends-to; class47; class36
R; depends-to; class48; class37
R; depends-to; class49; class11
R; depends-to; class49; class31
R; depends-to; class49; class26
R; depends-to; class49; class45
R; depends-to; class49; class42
R; pertains-to; class1; package1
R; pertains-to; class2; package3
R; pertains-to; class3; package5
R; pertains-to; class4; package10
R; pertains-to; class5; package9
R; pertains-to; class6; package9
R; pertains-to; class7; package7
R; pertains-to; class8; package11
R; pertains-to; class9; package1
R; pertains-to; class10; package2
R; pertains-to; class11; package11
R; pertains-to; class12; package8
R; pertains-to; class13; package6
R; pertains-to; class14; package12
R; pertains-to; class15; package4
R; pertains-to; class16; package13
R; pertains-to; class17; package4
R; pertains-to; class18; package4
R; pertains-to; class19; package5
R; pertains-to; class20; package4
R; pertains-to; class21; package3
R; pertains-to; class22; package7
R; pertains-to; class23; package13
