E; class; class1
E; class; class2
E; class; class3
E; class; class4
E; class; class5
E; class; class6
E; class; class7
E; class; class8
E; class; class9
E; class; class10
E; class; class11
E; class; class12
E; class; class13
E; class; class14
E; class; class15
E; class; class16
E; class; class17
E; class; class18
E; class; class19
E; class; class20
E; class; class21
E; class; class22
E; class; class23
E; class; class24
E; class; class25
E; class; class26
E; class; class27
E; class; class28
E; class; class29
E; class; class30
E; class; class31
E; class; class32
E; class; class33
E; class; class34
E; class; class35
E; class; class36
E; class; class37
E; class; class38
E; class; class39
E; class; class40
E; class; class41
E; class; class42
E; class; class43
E; class; class44
E; class; class45
E; class; class46
E; class; class47
E; class; class48
E; class; class49
E; class; class50
E; package; package1
E; package; package2
E; package; package3
E; package; package4
E; package; package5
E; package; package6
E; package; package7
R; depends-to; class1; class9
R; depends-to; class2; class34
R; depends-to; class3; class43
R; depends-to; class3; class7
R; depends-to; class3; class9
R; depends-to; class3; class25
R; depends-to; class4; class17
R; depends-to; class6; class40
R; depends-to; class6; class8
R; depends-to; class6; class41
R; depends-to; class7; class15
R; depends-to; class7; class44
R; depends-to; class7; class49
R; depends-to; class9; class19
R; depends-to; class9; class6
R; depends-to; class10; class9
R; depends-to; class10; class5
R; depends-to; class10; class12
R; depends-to; class10; class32
R; depends-to; class10; class48
R; depends-to; class10; class2
R; depends-to; class10; class23
R; depends-to; class11; class35
R; depends-to; class11; class24
R; depends-to; class11; class1
R; depends-to; class11; class34
R; depends-to; class12; class24
R; depends-to; class12; class38
R; depends-to; class12; class42
R; depends-to; class12; class48
R; depends-to; class12; class13
R; depends-to; class12; class11
R; depends-to; class13; class36
R; depends-to; class13; class38
R; depends-to; class13; class17
R; depends-to; class15; class47
R; depends-to; class15; class48
R; depends-to; class15; class18
R; depends-to; class15; class27
R; depends-to; class15; class6
R; depends-to; class15; class10
R; depends-to; class15; class41
R; depends-to; class16; class25
R; depends-to; class16; class19
R; depends-to; class16; class22
R; depends-to; class16; class31
R; depends-to; class17; class6
R; depends-to; class17; class10
R; depends-to; class17; class33
R; depends-to; class18; class50
R; depends-to; class18; class1
R; depends-to; class18; class8
R; depends-to; class18; class49
R; depends-to; class18; class21
R; depends-to; class18; class43
R; depends-to; class18; class36
R; depends-to; class19; class5
R; depends-to; class19; class36
R; depends-to; class19; class38
R; depends-to; class19; class18
R; depends-to; class19; class29
R; depends-to; class19; class48
R; depends-to; class20; class18
R; depends-to; class20; class23
R; depends-to; class20; class10
R; depends-to; class20; class37
R; depends-to; class21; class40
R; depends-to; class21; class47
R; depends-to; class21; class14
R; depends-to; class21; class20
R; depends-to; class21; class9
R; depends-to; class21; class27
R; depends-to; class22; class18
R; depends-to; class23; class3
R; depends-to; class23; class21
R; depends-to; class23; class18
R; depends-to; class23; class27
R; depends-to; class23; class35
R; depends-to; class24; class27
R; depends-to; class24; class7
R; depends-to; class24; class42
R; depends-to; class24; class17
R; depends-to; class24; class39
R; depends-to; class24; class21
R; depends-to; class24; class25
R; depends-to; class25; class27
R; depends-to; class25; class41
R; depends-to; class25; class42
R; depends-to; class25; class26
R; depends-to; class25; class7
R; depends-to; class25; class14
R; depends-to; class26; class31
R; depends-to; class26; class16
R; depends-to; class26; class1
R; depends-to; class26; class30
R; depends-to; class26; class39
R; depends-to; class26; class48
R; depends-to; class28; class26
R; depends-to; class28; class20
R; depends-to; class30; class19
R; depends-to; class30; class5
R; depends-to; class30; class41
R; depends-to; class31; class26
R; depends-to; class31; class39
R; depends-to; class31; class15
R; depends-to; class31; class49
R; depends-to; class31; class21
R; depends-to; class31; class46
R; depends-to; class32; class36
R; depends-to; class32; class11
R; depends-to; class32; class23
R; depends-to; class32; class1
R; depends-to; class32; class2
R; depends-to; class32; class10
R; depends-to; class33; class46
R; depends-to; class33; class1
R; depends-to; class33; class17
R; depends-to; class33; class13
R; depends-to; class33; class47
R; depends-to; class33; class21
R; depends-to; class33; class24
R; depends-to; class34; class46
R; depends-to; class34; class3
R; depends-to; class34; class8
R; depends-to; class36; class30
R; depends-to; class36; class40
R; depends-to; class36; class21
R; depends-to; class36; class39
R; depends-to; class36; class45
R; depends-to; class36; class14
R; depends-to; class37; class32
R; depends-to; class37; class43
R; depends-to; class37; class33
R; depends-to; class37; class35
R; depends-to; class37; class42
R; depends-to; class37; class15
R; depends-to; class37; class30
R; depends-to; class38; class16
R; depends-to; class38; class41
R; depends-to; class38; class12
R; depends-to; class38; class13
R; depends-to; class39; class21
R; depends-to; class39; class37
R; depends-to; class39; class43
R; depends-to; class39; class42
R; depends-to; class39; class50
R; depends-to; class39; class2
R; depends-to; class39; class26
R; depends-to; class40; class39
R; depends-to; class40; class16
R; depends-to; class40; class45
R; depends-to; class41; class40
R; depends-to; class41; class18
R; depends-to; class42; class7
R; depends-to; class42; class47
R; depends-to; class42; class32
R; depends-to; class44; class50
R; depends-to; class44; class25
R; depends-to; class44; class6
R; depends-to; class44; class35
R; depends-to; class45; class4
R; depends-to; class45; class20
R; depends-to; class46; class43
R; depends-to; class46; class6
R; depends-to; class47; class11
R; depends-to; class47; class19
R; depends-to; class47; class44
R; depends-to; class47; class5
R; depends-to; class47; class31
R; depends-to; class47; class20
R; depends-to; class48; class15
R; depends-to; class48; class35
R; depends-to; class48; class30
R; depends-to; class48; class11
R; depends-to; class49; class33
R; depends-to; class49; class18
R; depends-to; class49; class30
R; depends-to; class50; class1
R; depends-to; class50; class32
R; depends-to; class50; class10
R; depends-to; class50; class26
R; depends-to; class50; class7
R; depends-to; class50; class46
R; depends-to; class50; class38
R; pertains-to; class1; package7
R; pertains-to; class2; package5
R; pertains-to; class3; package5
R; pertains-to; class4; package5
R; pertains-to; class5; package6
R; pertains-to; class6; package2
R; pertains-to; class7; package3
R; pertains-to; class8; package2
R; pertains-to; class9; package7
R; pertains-to; class10; package3
R; pertains-to; class11; package2
R; pertains-to; class12; package5
R; pertains-to; class13; package3
R; pertains-to; class14; package7
R; pertains-to; class15; package1
R; pertains-to; class16; package1
R; pertains-to; class17; package2
R; pertains-to; class18; package6
R; pertains-to; class19; package4
R; pertains-to; class20; package2
R; pertains-to; class21; package3
R; pertains-to; class22; package3
R; pertains-to; class23; package6
R; pertains-to; class24; package1
R; pertains-to; class25; package3
R; pertains-to; class26; package4
R; pertains-to; class27; package1
R; pertains-to; class28; package3
R; pertains-to; class29; package6
R; pertains-to; class30; package3
R; pertains-to; class31; package4
R; pertains-to; class32; package4
R; pertains-to; class33; package4
R; pertains-to; class34; package6
R; pertains-to; class35; package3
R; pertains-to; class36; package5
R; pertains-to; class37; package4
R; pertains-to; class38; package7
R; pertains-to; class39; package2
R; pertains-to; class40; package2
R; pertains-to; class41; package7
R; pertains-to; class42; package4
R; pertains-to; class43; package2
R; pertains-to; class44; package5
R; pertains-to; class45; package7
R; pertains-to; class46; package6
R; pertains-to; class47; package4
R; pertains-to; class48; package6
R; pertains-to; class49; package1
R; pertains-to; class50; package1
