E; class; class1
E; class; class2
E; class; class3
E; class; class4
E; class; class5
E; class; class6
E; class; class7
E; class; class8
E; class; class9
E; class; class10
E; class; class11
E; class; class12
E; class; class13
E; class; class14
E; class; class15
E; class; class16
E; class; class17
E; class; class18
E; class; class19
E; class; class20
E; class; class21
E; class; class22
E; class; class23
E; class; class24
E; class; class25
E; class; class26
E; class; class27
E; class; class28
E; class; class29
E; class; class30
E; class; class31
E; class; class32
E; class; class33
E; class; class34
E; class; class35
E; class; class36
E; class; class37
E; class; class38
E; class; class39
E; class; class40
E; class; class41
E; class; class42
E; class; class43
E; class; class44
E; class; class45
E; class; class46
E; class; class47
E; class; class48
E; class; class49
E; class; class50
E; package; package1
E; package; package2
E; package; package3
E; package; package4
E; package; package5
E; package; package6
E; package; package7
E; package; package8
E; package; package9
R; depends-to; class1; class47
R; depends-to; class2; class1
R; depends-to; class2; class14
R; depends-to; class2; class20
R; depends-to; class2; class45
R; depends-to; class2; class34
R; depends-to; class2; class10
R; depends-to; class2; class11
R; depends-to; class3; class4
R; depends-to; class3; class11
R; depends-to; class3; class31
R; depends-to; class3; class24
R; depends-to; class3; class22
R; depends-to; class3; class21
R; depends-to; class4; class16
R; depends-to; class5; class7
R; depends-to; class7; class21
R; depends-to; class7; class17
R; depends-to; class7; class34
R; depends-to; class7; class2
R; depends-to; class7; class30
R; depends-to; class7; class42
R; depends-to; class8; class3
R; depends-to; class8; class17
R; depends-to; class9; class42
R; depends-to; class9; class44
R; depends-to; class9; class35
R; depends-to; class9; class21
R; depends-to; class9; class26
R; depends-to; class9; class23
R; depends-to; class10; class5
R; depends-to; class10; class42
R; depends-to; class10; class43
R; depends-to; class10; class16
R; depends-to; class10; class9
R; depends-to; class10; class17
R; depends-to; class10; class18
R; depends-to; class11; class46
R; depends-to; class11; class18
R; depends-to; class12; class42
R; depends-to; class12; class33
R; depends-to; class12; class34
R; depends-to; class12; class9
R; depends-to; class13; class3
R; depends-to; class13; class50
R; depends-to; class13; class8
R; depends-to; class13; class45
R; depends-to; class13; class29
R; depends-to; class13; class12
R; depends-to; class14; class2
R; depends-to; class14; class11
R; depends-to; class14; class8
R; depends-to; class14; class31
R; depends-to; class14; class9
R; depends-to; class14; class4
R; depends-to; class16; class34
R; depends-to; class16; class15
R; depends-to; class17; class25
R; depends-to; class17; class10
R; depends-to; class17; class18
R; depends-to; class17; class24
R; depends-to; class18; class20
R; depends-to; class18; class23
R; depends-to; class18; class11
R; depends-to; class18; class15
R; depends-to; class19; class31
R; depends-to; class19; class40
R; depends-to; class19; class8
R; depends-to; class19; class29
R; depends-to; class19; class16
R; depends-to; class19; class23
R; depends-to; class19; class11
R; depends-to; class20; class23
R; depends-to; class20; class19
R; depends-to; class20; class1
R; depends-to; class20; class30
R; depends-to; class20; class14
R; depends-to; class21; class10
R; depends-to; class21; class7
R; depends-to; class21; class44
R; depends-to; class21; class26
R; depends-to; class21; class18
R; depends-to; class22; class29
R; depends-to; class22; class14
R; depends-to; class22; class7
R; depends-to; class22; class50
R; depends-to; class22; class26
R; depends-to; class23; class14
R; depends-to; class23; class37
R; depends-to; class23; class28
R; depends-to; class23; class36
R; depends-to; class23; class41
R; depends-to; class23; class1
